Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,7114.998,-0.74,0.74,2.699,4.199,0.721,0.741,2.755,2.768
100.0,,,626168.054,-0.74,0.74,2.719,4.2,0.711,0.732,2.72,2.734
200.0,,,1244220.408,-0.74,0.74,2.719,4.199,0.707,0.728,2.702,2.716
300.0,,,1991927.316,-0.74,0.74,2.72,4.199,0.704,0.725,2.691,2.705
400.0,,,2608450.914,-0.74,0.74,2.72,4.199,0.699,0.72,2.674,2.689
500.0,,,3224266.748,-0.74,0.74,2.72,4.2,0.696,0.717,2.662,2.676
600.0,,,3839408.411,-0.74,0.74,2.721,4.199,0.692,0.714,2.649,2.664
700.0,,,4497377.705,-0.74,0.74,2.735,4.199,0.691,0.709,2.644,2.649
800.0,,,5111830.664,-0.74,0.74,2.735,4.2,0.687,0.706,2.629,2.637
900.0,,,5725685.109,-0.74,0.74,2.735,4.199,0.683,0.702,2.617,2.624
1000.0,,,6338924.186,-0.74,0.74,2.735,4.2,0.68,0.699,2.606,2.613
1100.0,,,6951575.952,-0.74,0.74,2.735,4.199,0.677,0.696,2.594,2.601
1200.0,,,7563608.345,-0.74,0.74,2.735,4.2,0.674,0.693,2.582,2.59
1300.0,,,8175092.015,-0.74,0.74,2.735,4.199,0.671,0.69,2.571,2.579
1400.0,,,8786016.496,-0.74,0.74,2.735,4.199,0.668,0.688,2.56,2.569
1600.0,,,10092412.825,-0.74,0.74,2.735,4.199,0.662,0.682,2.54,2.549
1800.0,,,11578500.473,-0.74,0.74,2.735,4.199,0.656,0.676,2.516,2.526
1900.0,,,12250266.023,-0.74,0.74,2.736,4.2,0.652,0.673,2.504,2.514
2000.0,,,12941411.223,-0.74,0.74,2.736,4.199,0.649,0.67,2.493,2.503
2100.0,,,13549863.07,-0.74,0.74,2.736,4.199,0.646,0.667,2.482,2.494
2200.0,,,14248141.468,-0.74,0.74,2.736,4.199,0.643,0.664,2.471,2.481
2300.0,,,14855860.034,-0.74,0.74,2.736,4.2,0.64,0.661,2.458,2.471
2400.0,,,15542854.178,-0.74,0.74,2.736,4.199,0.637,0.658,2.449,2.46
2500.0,,,16149821.229,-0.74,0.74,2.736,4.199,0.634,0.656,2.438,2.452
2600.0,,,17028260.845,-0.74,0.74,2.736,4.199,0.631,0.653,2.428,2.439
2700.0,,,17634451.603,-0.74,0.74,2.736,4.199,0.629,0.651,2.419,2.433
2800.0,,,18240825.305,-0.74,0.74,2.736,4.199,0.626,0.649,2.409,2.424
2900.0,,,19270817.208,-0.74,0.74,2.737,4.2,0.623,0.645,2.398,2.41
3000.0,,,19875821.603,-0.74,0.74,2.736,4.199,0.621,0.644,2.391,2.406
3100.0,,,20481114.122,-0.74,0.74,2.737,4.199,0.619,0.642,2.382,2.398
3200.0,,,21257138.045,-0.74,0.74,2.737,4.199,0.616,0.639,2.373,2.386
3300.0,,,21861042.687,-0.74,0.74,2.737,4.199,0.614,0.638,2.365,2.382
3500.0,,,23229158.925,-0.74,0.74,2.737,4.199,0.61,0.632,2.351,2.364
3600.0,,,23831585.4,-0.74,0.74,2.737,4.199,0.609,0.632,2.344,2.36
3700.0,,,24434731.244,-0.74,0.74,2.736,4.199,0.604,0.629,2.327,2.352
3800.0,,,25486446.453,-0.74,0.74,2.737,4.2,0.603,0.625,2.324,2.338
3900.0,,,26088318.55,-0.74,0.74,2.737,4.199,0.602,0.625,2.319,2.336
4000.0,,,26690631.406,-0.74,0.74,2.738,4.2,0.6,0.623,2.311,2.329
4100.0,,,27449434.909,-0.74,0.74,2.738,4.199,0.597,0.62,2.303,2.319
4200.0,,,28071338.291,-0.74,0.74,2.738,4.199,0.596,0.619,2.296,2.314
4300.0,,,28672105.421,-0.74,0.74,2.738,4.199,0.593,0.618,2.286,2.307
4400.0,,,29273260.57,-0.74,0.74,2.739,4.199,0.591,0.616,2.278,2.299
4500.0,,,29961051.267,-0.74,0.74,2.739,4.199,0.588,0.613,2.269,2.289
4600.0,,,30560949.288,-0.74,0.74,2.739,4.199,0.587,0.612,2.264,2.285
4800.0,,,31947494.733,-0.74,0.74,2.739,4.2,0.583,0.609,2.249,2.273
5000.0,,,34038101.41,-0.74,0.74,2.74,4.199,0.579,0.604,2.233,2.256
5100.0,,,34634138.903,-0.74,0.74,2.74,4.2,0.577,0.603,2.225,2.25
5200.0,,,35678983.637,-0.74,0.74,2.74,4.2,0.574,0.6,2.219,2.241
5300.0,,,36273512.389,-0.74,0.74,2.74,4.199,0.574,0.6,2.214,2.238
5400.0,,,36867801.252,-0.74,0.74,2.74,4.199,0.572,0.598,2.207,2.232
5500.0,,,37950213.537,-0.74,0.74,2.741,4.199,0.568,0.594,2.195,2.22
5600.0,,,38543849.749,-0.74,0.74,2.74,4.2,0.568,0.594,2.191,2.217
5700.0,,,39137221.699,-0.74,0.74,2.741,4.2,0.566,0.593,2.184,2.212
5800.0,,,39747439.329,-0.74,0.74,2.741,4.2,0.564,0.59,2.177,2.203
5900.0,,,40340259.613,-0.74,0.74,2.741,4.199,0.562,0.589,2.17,2.198
6000.0,,,40932887.218,-0.74,0.74,2.741,4.199,0.561,0.588,2.165,2.193
6100.0,,,41631703.89,-0.74,0.74,2.741,4.199,0.558,0.586,2.157,2.185
6200.0,,,42224000.102,-0.74,0.74,2.741,4.199,0.558,0.586,2.155,2.183
6300.0,,,42816025.666,-0.74,0.74,2.742,4.199,0.556,0.584,2.149,2.178
6400.0,,,43607983.612,-0.74,0.74,2.742,4.199,0.553,0.581,2.139,2.169
6500.0,,,44199624.637,-0.74,0.74,2.742,4.199,0.553,0.582,2.136,2.167
6600.0,,,44790931.682,-0.74,0.74,2.742,4.199,0.552,0.58,2.131,2.162
6700.0,,,46286816.99,-0.74,0.74,2.742,4.199,0.55,0.578,2.127,2.157
6800.0,,,46877527.149,-0.74,0.74,2.742,4.199,0.549,0.578,2.123,2.153
6900.0,,,47467861.292,-0.74,0.74,2.743,4.2,0.548,0.576,2.118,2.149
7000.0,,,48465455.072,-0.74,0.74,2.743,4.199,0.544,0.573,2.106,2.139
7100.0,,,48465455.072,-0.74,0.74,2.743,4.199,0.544,0.573,2.106,2.137
7200.0,,,49060250.103,-0.74,0.74,2.743,4.199,0.544,0.575,2.103,2.141
7300.0,,,49649882.052,-0.74,0.74,2.743,4.199,0.543,0.572,2.098,2.131
7400.0,,,50239345.722,-0.74,0.74,2.743,4.2,0.541,0.57,2.091,2.125
7500.0,,,50863808.992,-0.74,0.74,2.744,4.199,0.539,0.568,2.084,2.117
7600.0,,,51452895.1,-0.74,0.74,2.744,4.199,0.538,0.568,2.079,2.114
7700.0,,,52041755.135,-0.74,0.74,2.744,4.199,0.537,0.567,2.075,2.11
