Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,7066.877,-0.74,0.74,2.699,4.199,0.717,0.735,2.742,2.745
100.0,,,625816.004,-0.74,0.74,2.718,4.199,0.708,0.727,2.707,2.715
200.0,,,1243589.092,-0.74,0.74,2.719,4.199,0.703,0.722,2.69,2.697
300.0,,,1992104.842,-0.74,0.74,2.719,4.199,0.701,0.719,2.68,2.686
400.0,,,2608212.738,-0.74,0.74,2.72,4.199,0.695,0.715,2.661,2.67
500.0,,,3223660.583,-0.74,0.74,2.72,4.2,0.692,0.711,2.648,2.657
600.0,,,3838462.443,-0.74,0.74,2.72,4.199,0.689,0.708,2.636,2.645
700.0,,,4497503.79,-0.74,0.74,2.735,4.199,0.687,0.705,2.631,2.634
800.0,,,5111337.19,-0.74,0.74,2.735,4.199,0.683,0.702,2.617,2.622
900.0,,,5724620.464,-0.74,0.74,2.735,4.199,0.68,0.699,2.606,2.612
1000.0,,,6337386.374,-0.74,0.74,2.735,4.199,0.678,0.696,2.597,2.602
1100.0,,,6949642.908,-0.74,0.74,2.735,4.199,0.675,0.694,2.586,2.592
1200.0,,,7561387.313,-0.74,0.74,2.735,4.199,0.672,0.691,2.576,2.582
1300.0,,,8172594.575,-0.74,0.74,2.735,4.199,0.669,0.688,2.564,2.571
1400.0,,,8783276.55,-0.74,0.74,2.735,4.2,0.666,0.685,2.554,2.561
1600.0,,,10092509.875,-0.74,0.74,2.735,4.2,0.66,0.679,2.533,2.539
1800.0,,,11578598.938,-0.74,0.74,2.735,4.199,0.654,0.674,2.51,2.519
1900.0,,,12250365.907,-0.74,0.74,2.735,4.2,0.651,0.67,2.499,2.505
2000.0,,,12941505.146,-0.74,0.74,2.735,4.2,0.647,0.667,2.486,2.493
2100.0,,,13550081.129,-0.74,0.74,2.736,4.199,0.644,0.665,2.474,2.484
2200.0,,,14248240.017,-0.74,0.74,2.736,4.199,0.641,0.661,2.464,2.471
2300.0,,,14856004.758,-0.74,0.74,2.736,4.199,0.638,0.659,2.453,2.464
2400.0,,,15542955.315,-0.74,0.74,2.736,4.199,0.635,0.656,2.442,2.451
2500.0,,,16149925.341,-0.74,0.74,2.736,4.2,0.633,0.654,2.432,2.445
2600.0,,,17028363.703,-0.74,0.74,2.736,4.199,0.63,0.65,2.421,2.429
2700.0,,,17634516.245,-0.74,0.74,2.737,4.2,0.628,0.649,2.413,2.425
2800.0,,,18240918.232,-0.74,0.74,2.737,4.199,0.625,0.647,2.403,2.416
2900.0,,,19270914.235,-0.74,0.74,2.737,4.199,0.621,0.642,2.389,2.399
3000.0,,,19875911.157,-0.74,0.74,2.737,4.199,0.619,0.641,2.382,2.396
3100.0,,,20481215.627,-0.74,0.74,2.737,4.199,0.616,0.639,2.371,2.386
3200.0,,,21257227.882,-0.74,0.74,2.737,4.199,0.613,0.635,2.359,2.372
3300.0,,,21861218.812,-0.74,0.74,2.737,4.199,0.611,0.634,2.352,2.367
3500.0,,,23229244.342,-0.74,0.74,2.737,4.199,0.606,0.627,2.335,2.346
3600.0,,,23831775.852,-0.74,0.74,2.737,4.2,0.605,0.628,2.331,2.345
3700.0,,,24434845.943,-0.74,0.74,2.736,4.199,0.601,0.626,2.316,2.339
3800.0,,,25486534.599,-0.74,0.74,2.737,4.199,0.599,0.621,2.309,2.321
3900.0,,,26088247.329,-0.74,0.74,2.737,4.199,0.598,0.621,2.305,2.321
4000.0,,,26690751.651,-0.74,0.74,2.737,4.2,0.596,0.619,2.297,2.314
4100.0,,,27449522.565,-0.74,0.74,2.737,4.2,0.592,0.615,2.284,2.3
4200.0,,,28071423.947,-0.74,0.74,2.738,4.199,0.591,0.614,2.279,2.296
4300.0,,,28671869.538,-0.74,0.74,2.738,4.199,0.588,0.613,2.268,2.288
4400.0,,,29272618.375,-0.74,0.74,2.738,4.2,0.586,0.611,2.26,2.28
4500.0,,,29961136.011,-0.74,0.74,2.738,4.199,0.583,0.607,2.249,2.268
4600.0,,,30560776.419,-0.74,0.74,2.739,4.199,0.582,0.607,2.244,2.265
4800.0,,,31947439.275,-0.74,0.74,2.739,4.199,0.578,0.603,2.229,2.252
5000.0,,,34038533.587,-0.74,0.74,2.7,4.199,0.539,0.565,2.085,2.104
5100.0,,,34634289.309,-0.74,0.74,2.744,4.192,0.539,0.578,2.083,2.137
5200.0,,,35679285.473,-0.74,0.74,2.743,4.194,0.539,0.575,2.087,2.131
5300.0,,,36273945.803,-0.74,0.74,2.744,4.189,0.539,0.581,2.083,2.147
5400.0,,,36868130.609,-0.74,0.74,2.744,4.189,0.539,0.581,2.082,2.148
5500.0,,,37950518.433,-0.74,0.74,2.744,4.197,0.539,0.576,2.088,2.134
5600.0,,,38544123.645,-0.74,0.74,2.744,4.192,0.539,0.579,2.084,2.142
5700.0,,,39137198.046,-0.74,0.74,2.745,4.194,0.539,0.578,2.084,2.139
5800.0,,,39747759.659,-0.74,0.74,2.745,4.197,0.539,0.575,2.086,2.13
5900.0,,,40340346.352,-0.74,0.74,2.745,4.199,0.539,0.574,2.084,2.128
6000.0,,,40932523.192,-0.74,0.74,2.745,4.2,0.537,0.573,2.077,2.123
6100.0,,,41631967.87,-0.74,0.74,2.746,4.199,0.531,0.567,2.056,2.105
6200.0,,,42223641.666,-0.74,0.74,2.745,4.193,0.531,0.57,2.053,2.11
6300.0,,,42814913.976,-0.74,0.74,2.746,4.197,0.531,0.568,2.054,2.105
6400.0,,,43608252.53,-0.74,0.74,2.746,4.2,0.526,0.562,2.036,2.087
6500.0,,,44199069.469,-0.74,0.74,2.746,4.193,0.526,0.565,2.032,2.092
6600.0,,,44789346.32,-0.74,0.74,2.747,4.196,0.526,0.564,2.033,2.086
6700.0,,,46287151.897,-0.74,0.74,2.749,4.195,0.526,0.561,2.037,2.08
6800.0,,,46877509.049,-0.74,0.74,2.747,4.194,0.526,0.564,2.033,2.087
6900.0,,,47467041.639,-0.74,0.74,2.747,4.198,0.526,0.562,2.034,2.081
7000.0,,,48465685.146,-0.74,0.74,2.748,4.199,0.519,0.556,2.013,2.065
7100.0,,,49062267.39,-0.74,0.74,2.75,4.198,0.519,0.556,2.011,2.059
7200.0,,,49650765.057,-0.74,0.74,2.75,4.198,0.519,0.557,2.009,2.06
7300.0,,,50238985.699,-0.74,0.74,2.753,4.198,0.519,0.557,2.009,2.06
7400.0,,,50881839.869,-0.74,0.74,2.7,4.199,0.475,0.501,1.842,1.854
7500.0,,,51470798.037,-0.74,0.74,2.755,4.178,0.475,0.562,1.824,2.043
7600.0,,,52060448.261,-0.74,0.74,2.757,4.178,0.475,0.558,1.825,2.032
7700.0,,,52697614.654,-0.74,0.74,2.765,4.167,0.475,0.545,1.834,1.987
