Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,7070.353,-0.74,0.74,2.699,4.199,0.716,0.737,2.735,2.753
100.0,,,625860.149,-0.74,0.74,2.719,4.199,0.707,0.728,2.702,2.72
200.0,,,1243791.477,-0.74,0.74,2.719,4.2,0.703,0.724,2.687,2.704
300.0,,,1992070.967,-0.74,0.74,2.72,4.199,0.7,0.722,2.678,2.693
400.0,,,2608456.474,-0.74,0.74,2.72,4.199,0.696,0.718,2.661,2.679
500.0,,,3224282.589,-0.74,0.74,2.72,4.2,0.693,0.715,2.65,2.668
600.0,,,3839581.083,-0.74,0.74,2.721,4.199,0.69,0.712,2.639,2.657
700.0,,,4497441.306,-0.74,0.74,2.737,4.199,0.69,0.708,2.64,2.644
800.0,,,5111289.14,-0.74,0.74,2.737,4.2,0.687,0.705,2.628,2.635
900.0,,,5724667.975,-0.74,0.74,2.737,4.199,0.684,0.703,2.619,2.626
1000.0,,,6337571.278,-0.74,0.74,2.737,4.199,0.682,0.701,2.61,2.617
1100.0,,,6950015.172,-0.74,0.74,2.736,4.2,0.679,0.699,2.602,2.609
1200.0,,,7562061.642,-0.74,0.74,2.737,4.199,0.677,0.696,2.593,2.6
1300.0,,,8173642.897,-0.74,0.74,2.736,4.199,0.674,0.694,2.584,2.591
1400.0,,,8784787.089,-0.74,0.74,2.737,4.199,0.672,0.691,2.574,2.582
1600.0,,,10092464.543,-0.74,0.74,2.737,4.199,0.667,0.686,2.556,2.564
1800.0,,,11578557.968,-0.74,0.74,2.737,4.199,0.661,0.681,2.535,2.545
1900.0,,,12250326.991,-0.74,0.74,2.737,4.199,0.658,0.678,2.524,2.533
2000.0,,,12941471.199,-0.74,0.74,2.737,4.199,0.655,0.675,2.514,2.522
2100.0,,,13549491.366,-0.74,0.74,2.737,4.199,0.652,0.673,2.503,2.514
2200.0,,,14248206.992,-0.74,0.74,2.737,4.2,0.649,0.67,2.493,2.502
2300.0,,,14855478.181,-0.74,0.74,2.737,4.199,0.647,0.668,2.482,2.494
2400.0,,,15542928.738,-0.74,0.74,2.737,4.199,0.644,0.665,2.474,2.484
2500.0,,,16149431.961,-0.74,0.74,2.737,4.199,0.641,0.663,2.463,2.476
2600.0,,,17028333.813,-0.74,0.74,2.738,4.199,0.638,0.66,2.453,2.463
2700.0,,,17633999.091,-0.74,0.74,2.737,4.199,0.636,0.658,2.444,2.458
2800.0,,,18240373.328,-0.74,0.74,2.737,4.2,0.633,0.656,2.434,2.448
2900.0,,,19270889.558,-0.74,0.74,2.738,4.199,0.63,0.652,2.423,2.435
3000.0,,,19875370.34,-0.74,0.74,2.738,4.199,0.628,0.651,2.415,2.43
3100.0,,,20480634.437,-0.74,0.74,2.738,4.199,0.626,0.649,2.406,2.421
3200.0,,,21257204.773,-0.74,0.74,2.738,4.199,0.623,0.645,2.395,2.409
3500.0,,,23229219.696,-0.74,0.74,2.738,4.199,0.616,0.638,2.372,2.385
3600.0,,,23831240.613,-0.74,0.74,2.738,4.199,0.615,0.638,2.366,2.381
3700.0,,,24434387.81,-0.74,0.74,2.738,4.199,0.611,0.636,2.352,2.374
3800.0,,,25486516.798,-0.74,0.74,2.738,4.199,0.61,0.632,2.349,2.362
3900.0,,,26087942.674,-0.74,0.74,2.738,4.199,0.608,0.632,2.342,2.359
4000.0,,,26690223.191,-0.74,0.74,2.738,4.199,0.606,0.63,2.333,2.351
4100.0,,,27449506.359,-0.74,0.74,2.739,4.199,0.604,0.627,2.325,2.34
4200.0,,,28071409.867,-0.74,0.74,2.739,4.199,0.602,0.626,2.319,2.335
4300.0,,,28671683.435,-0.74,0.74,2.739,4.199,0.599,0.624,2.309,2.328
4400.0,,,29272870.413,-0.74,0.74,2.739,4.199,0.597,0.622,2.301,2.321
4500.0,,,29961115.185,-0.74,0.74,2.739,4.199,0.594,0.618,2.291,2.309
4600.0,,,30560554.041,-0.74,0.74,2.739,4.199,0.592,0.617,2.283,2.304
4800.0,,,31947092.033,-0.74,0.74,2.74,4.199,0.588,0.614,2.268,2.291
5000.0,,,34038154.305,-0.74,0.74,2.74,4.2,0.584,0.609,2.251,2.273
5100.0,,,34633777.725,-0.74,0.74,2.741,4.199,0.581,0.608,2.242,2.266
5200.0,,,35679042.697,-0.74,0.74,2.741,4.199,0.579,0.604,2.236,2.256
5300.0,,,36274206.344,-0.74,0.74,2.74,4.199,0.578,0.604,2.23,2.254
5400.0,,,36869114.665,-0.74,0.74,2.741,4.199,0.576,0.603,2.223,2.247
5500.0,,,37950282.459,-0.74,0.74,2.741,4.199,0.573,0.599,2.214,2.237
5600.0,,,38544657.169,-0.74,0.74,2.741,4.199,0.573,0.6,2.21,2.235
5700.0,,,39138776.791,-0.74,0.74,2.741,4.199,0.571,0.598,2.203,2.23
5800.0,,,39747503.716,-0.74,0.74,2.741,4.199,0.569,0.596,2.196,2.221
5900.0,,,40341058.726,-0.74,0.74,2.741,4.199,0.567,0.594,2.187,2.215
6000.0,,,40934339.461,-0.74,0.74,2.742,4.199,0.565,0.592,2.18,2.208
6100.0,,,41631721.402,-0.74,0.74,2.742,4.199,0.562,0.589,2.171,2.198
6200.0,,,42224400.734,-0.74,0.74,2.742,4.199,0.561,0.589,2.167,2.194
6300.0,,,42816815.868,-0.74,0.74,2.742,4.199,0.559,0.587,2.16,2.188
6400.0,,,43608035.571,-0.74,0.74,2.742,4.2,0.557,0.585,2.152,2.181
6500.0,,,44199979.982,-0.74,0.74,2.743,4.199,0.556,0.585,2.149,2.178
6600.0,,,44791614.494,-0.74,0.74,2.743,4.2,0.555,0.583,2.142,2.172
6700.0,,,46286875.834,-0.74,0.74,2.743,4.199,0.555,0.582,2.145,2.172
6800.0,,,46878039.349,-0.74,0.74,2.743,4.199,0.555,0.583,2.143,2.171
6900.0,,,47468914.111,-0.74,0.74,2.742,4.199,0.553,0.581,2.136,2.166
7000.0,,,48465516.18,-0.74,0.74,2.744,4.2,0.55,0.579,2.127,2.158
7100.0,,,49060840.865,-0.74,0.74,2.743,4.199,0.55,0.58,2.125,2.16
7200.0,,,49651183.881,-0.74,0.74,2.744,4.2,0.548,0.578,2.119,2.151
7300.0,,,50241290.166,-0.74,0.74,2.744,4.199,0.547,0.576,2.112,2.145
7400.0,,,50863863.422,-0.74,0.74,2.744,4.2,0.545,0.574,2.106,2.138
7500.0,,,51453618.461,-0.74,0.74,2.744,4.199,0.543,0.573,2.1,2.133
7600.0,,,52043142.281,-0.74,0.74,2.745,4.199,0.542,0.572,2.094,2.127
7700.0,,,52697094.884,-0.74,0.74,2.745,4.199,0.54,0.57,2.087,2.122
7800.0,,,53286287.558,-0.74,0.74,2.745,4.2,0.539,0.569,2.083,2.118
7900.0,,,53875234.283,-0.74,0.74,2.745,4.199,0.537,0.568,2.078,2.113
8000.0,,,54593312.976,-0.74,0.74,2.745,4.199,0.535,0.566,2.071,2.108
8100.0,,,55182056.223,-0.74,0.74,2.746,4.199,0.535,0.566,2.069,2.104
