Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,7075.686,-0.74,0.74,2.7,4.199,0.719,0.734,2.751,2.743
100.0,,,626608.105,-0.74,0.74,2.719,4.2,0.711,0.726,2.717,2.712
200.0,,,1245153.176,-0.74,0.74,2.72,4.199,0.705,0.721,2.699,2.693
300.0,,,1992200.8,-0.74,0.74,2.72,4.2,0.702,0.717,2.684,2.679
400.0,,,2608761.935,-0.74,0.74,2.72,4.199,0.696,0.712,2.664,2.661
500.0,,,3224481.995,-0.74,0.74,2.721,4.199,0.692,0.708,2.648,2.646
600.0,,,3839504.113,-0.74,0.74,2.721,4.2,0.688,0.703,2.634,2.63
700.0,,,4497465.882,-0.74,0.74,2.736,4.2,0.684,0.701,2.62,2.622
800.0,,,5111124.789,-0.74,0.74,2.736,4.199,0.68,0.698,2.605,2.608
900.0,,,5724152.545,-0.74,0.74,2.735,4.199,0.676,0.694,2.591,2.595
1000.0,,,6336493.337,-0.74,0.74,2.735,4.199,0.673,0.691,2.578,2.582
1100.0,,,6948104.28,-0.74,0.74,2.735,4.199,0.669,0.687,2.563,2.569
1200.0,,,7559092.058,-0.74,0.74,2.735,4.199,0.664,0.683,2.547,2.553
1300.0,,,8169230.422,-0.74,0.74,2.735,4.199,0.66,0.679,2.532,2.538
1400.0,,,8778711.976,-0.74,0.74,2.735,4.2,0.656,0.674,2.517,2.523
1600.0,,,10092351.405,-0.74,0.74,2.735,4.2,0.648,0.667,2.489,2.495
1800.0,,,11578426.667,-0.74,0.74,2.735,4.199,0.64,0.659,2.459,2.467
1900.0,,,12250186.514,-0.74,0.74,2.736,4.199,0.636,0.655,2.445,2.452
2000.0,,,12941322.386,-0.74,0.74,2.736,4.2,0.632,0.651,2.43,2.437
2100.0,,,13550781.955,-0.74,0.74,2.736,4.199,0.629,0.649,2.417,2.427
2200.0,,,14248048.868,-0.74,0.74,2.736,4.199,0.625,0.644,2.403,2.412
2300.0,,,14856606.546,-0.74,0.74,2.736,4.199,0.622,0.642,2.392,2.403
2400.0,,,15542771.047,-0.74,0.74,2.736,4.199,0.619,0.639,2.383,2.392
2500.0,,,16150675.512,-0.74,0.74,2.736,4.199,0.617,0.638,2.372,2.385
2600.0,,,17028163.421,-0.74,0.74,2.737,4.199,0.612,0.633,2.357,2.367
2700.0,,,17635153.894,-0.74,0.74,2.737,4.199,0.61,0.631,2.348,2.36
2800.0,,,18241538.099,-0.74,0.74,2.737,4.199,0.608,0.629,2.339,2.352
2900.0,,,19270725.666,-0.74,0.74,2.737,4.2,0.603,0.624,2.325,2.335
3000.0,,,19876621.008,-0.74,0.74,2.737,4.199,0.602,0.624,2.319,2.333
3100.0,,,20481796.79,-0.74,0.74,2.737,4.199,0.599,0.621,2.306,2.322
3200.0,,,21257031.229,-0.74,0.74,2.737,4.199,0.595,0.617,2.296,2.309
3300.0,,,21862044.904,-0.74,0.74,2.738,4.2,0.594,0.616,2.289,2.305
3500.0,,,23229043.724,-0.74,0.74,2.737,4.199,0.589,0.61,2.27,2.284
3600.0,,,23832696.26,-0.74,0.74,2.738,4.199,0.587,0.609,2.262,2.278
3700.0,,,24435561.122,-0.74,0.74,2.737,4.199,0.582,0.607,2.244,2.27
3800.0,,,25486332.735,-0.74,0.74,2.737,4.199,0.58,0.602,2.239,2.253
3900.0,,,26088932.782,-0.74,0.74,2.738,4.199,0.579,0.602,2.235,2.252
4000.0,,,26691466.65,-0.74,0.74,2.738,4.2,0.578,0.601,2.228,2.247
4100.0,,,27449321.641,-0.74,0.74,2.738,4.199,0.573,0.596,2.214,2.233
4200.0,,,28071212.116,-0.74,0.74,2.738,4.199,0.572,0.595,2.208,2.227
4300.0,,,28672430.162,-0.74,0.74,2.739,4.199,0.569,0.593,2.198,2.22
4400.0,,,29273257.039,-0.74,0.74,2.739,4.199,0.567,0.592,2.19,2.213
4500.0,,,29960935.151,-0.74,0.74,2.739,4.2,0.564,0.588,2.178,2.2
4600.0,,,30561440.7,-0.74,0.74,2.739,4.199,0.563,0.587,2.174,2.196
4800.0,,,31948136.15,-0.74,0.74,2.74,4.199,0.559,0.584,2.159,2.185
5000.0,,,34038009.175,-0.74,0.74,2.74,4.2,0.557,0.582,2.151,2.175
5100.0,,,34629500.397,-0.74,0.74,2.741,4.2,0.555,0.581,2.143,2.17
