Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,7077.602,-0.74,0.74,2.699,4.199,0.717,0.737,2.739,2.755
100.0,,,625238.568,-0.74,0.74,2.718,4.199,0.707,0.728,2.703,2.72
200.0,,,1242322.725,-0.74,0.74,2.719,4.199,0.702,0.723,2.684,2.701
300.0,,,1992252.032,-0.74,0.74,2.72,4.2,0.699,0.72,2.673,2.687
400.0,,,2607622.187,-0.74,0.74,2.72,4.199,0.694,0.715,2.653,2.671
500.0,,,3222267.051,-0.74,0.74,2.721,4.199,0.69,0.712,2.639,2.658
600.0,,,3836256.663,-0.74,0.74,2.72,4.2,0.687,0.709,2.627,2.646
700.0,,,4497523.285,-0.74,0.74,2.734,4.2,0.686,0.704,2.627,2.631
800.0,,,5110743.309,-0.74,0.74,2.734,4.199,0.683,0.701,2.613,2.62
900.0,,,5723417.587,-0.74,0.74,2.734,4.199,0.68,0.698,2.602,2.609
1000.0,,,6335541.511,-0.74,0.74,2.734,4.199,0.677,0.696,2.592,2.599
1100.0,,,6947144.181,-0.74,0.74,2.734,4.199,0.674,0.693,2.58,2.588
1200.0,,,7558173.367,-0.74,0.74,2.734,4.199,0.671,0.69,2.57,2.578
1300.0,,,8168689.66,-0.74,0.74,2.734,4.199,0.668,0.687,2.56,2.568
1400.0,,,8778686.789,-0.74,0.74,2.734,4.199,0.665,0.685,2.55,2.558
1600.0,,,10092479.95,-0.74,0.74,2.734,4.199,0.659,0.679,2.529,2.537
1800.0,,,11578566.628,-0.74,0.74,2.734,4.199,0.653,0.673,2.505,2.515
1900.0,,,12250333.366,-0.74,0.74,2.735,4.2,0.65,0.67,2.493,2.502
2000.0,,,12941470.625,-0.74,0.74,2.735,4.2,0.646,0.667,2.482,2.491
2100.0,,,13549512.084,-0.74,0.74,2.735,4.199,0.643,0.664,2.469,2.482
2200.0,,,14248210.208,-0.74,0.74,2.735,4.199,0.641,0.661,2.461,2.47
2300.0,,,14855404.029,-0.74,0.74,2.735,4.199,0.638,0.659,2.449,2.462
2400.0,,,15542925.891,-0.74,0.74,2.735,4.199,0.635,0.656,2.439,2.45
2500.0,,,16149469.698,-0.74,0.74,2.736,4.2,0.632,0.654,2.428,2.442
2600.0,,,17028339.626,-0.74,0.74,2.736,4.199,0.629,0.65,2.418,2.429
2700.0,,,17634071.865,-0.74,0.74,2.736,4.199,0.626,0.649,2.408,2.423
2800.0,,,18240491.313,-0.74,0.74,2.736,4.199,0.624,0.646,2.399,2.414
2900.0,,,19270894.618,-0.74,0.74,2.736,4.199,0.621,0.643,2.39,2.403
3000.0,,,19875506.422,-0.74,0.74,2.736,4.2,0.619,0.642,2.382,2.398
3100.0,,,20480847.455,-0.74,0.74,2.736,4.199,0.617,0.64,2.373,2.389
3200.0,,,21257222.156,-0.74,0.74,2.737,4.199,0.614,0.637,2.364,2.378
3300.0,,,21860753.077,-0.74,0.74,2.737,4.199,0.612,0.636,2.355,2.373
3500.0,,,23229247.12,-0.74,0.74,2.737,4.199,0.607,0.629,2.339,2.353
3600.0,,,23831271.499,-0.74,0.74,2.737,4.2,0.606,0.629,2.331,2.349
3700.0,,,24434332.675,-0.74,0.74,2.737,4.199,0.602,0.626,2.316,2.341
3800.0,,,25486538.662,-0.74,0.74,2.737,4.199,0.6,0.623,2.314,2.327
3900.0,,,26087786.335,-0.74,0.74,2.736,4.199,0.599,0.622,2.307,2.325
4000.0,,,26690279.961,-0.74,0.74,2.737,4.2,0.596,0.62,2.297,2.317
4100.0,,,27449511.343,-0.74,0.74,2.737,4.2,0.594,0.617,2.289,2.305
4200.0,,,28071413.481,-0.74,0.74,2.738,4.2,0.592,0.616,2.282,2.301
4300.0,,,28671455.563,-0.74,0.74,2.738,4.199,0.59,0.614,2.273,2.294
4400.0,,,29272086.397,-0.74,0.74,2.738,4.199,0.587,0.612,2.264,2.287
4500.0,,,29961131.504,-0.74,0.74,2.738,4.2,0.585,0.61,2.256,2.276
4600.0,,,30560370.803,-0.74,0.74,2.738,4.199,0.584,0.609,2.25,2.273
4800.0,,,31946975.56,-0.74,0.74,2.739,4.2,0.579,0.605,2.234,2.26
5000.0,,,34037995.5,-0.74,0.74,2.699,4.199,0.43,0.456,1.664,1.672
