Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,7046.379,-0.74,0.74,2.699,4.199,0.717,0.731,2.74,2.731
100.0,,,626367.894,-0.74,0.74,2.719,4.199,0.708,0.723,2.706,2.702
200.0,,,1244664.519,-0.74,0.74,2.719,4.199,0.703,0.718,2.688,2.684
300.0,,,1992292.756,-0.74,0.74,2.719,4.2,0.7,0.715,2.676,2.671
400.0,,,2608877.228,-0.74,0.74,2.719,4.199,0.694,0.71,2.657,2.654
500.0,,,3224704.209,-0.74,0.74,2.719,4.199,0.691,0.706,2.643,2.639
600.0,,,3839889.946,-0.74,0.74,2.72,4.199,0.687,0.702,2.63,2.626
700.0,,,4497514.157,-0.74,0.74,2.735,4.2,0.686,0.702,2.624,2.624
800.0,,,5111389.737,-0.74,0.74,2.735,4.199,0.681,0.698,2.608,2.61
900.0,,,5724597.557,-0.74,0.74,2.735,4.199,0.678,0.695,2.597,2.599
1000.0,,,6337250.456,-0.74,0.74,2.735,4.2,0.675,0.692,2.585,2.588
1100.0,,,6949328.633,-0.74,0.74,2.735,4.199,0.672,0.689,2.574,2.576
1200.0,,,7560807.58,-0.74,0.74,2.735,4.199,0.669,0.686,2.562,2.565
1300.0,,,8171728.024,-0.74,0.74,2.735,4.199,0.665,0.683,2.551,2.554
1400.0,,,8782079.126,-0.74,0.74,2.735,4.199,0.662,0.68,2.539,2.543
1600.0,,,10092430.839,-0.74,0.74,2.735,4.199,0.656,0.674,2.517,2.52
1800.0,,,11578526.037,-0.74,0.74,2.735,4.199,0.65,0.668,2.496,2.5
1900.0,,,12250291.313,-0.74,0.74,2.735,4.199,0.647,0.665,2.484,2.488
2000.0,,,12941427.324,-0.74,0.74,2.735,4.199,0.643,0.662,2.471,2.475
2100.0,,,13550559.549,-0.74,0.74,2.735,4.199,0.64,0.659,2.458,2.465
2200.0,,,14248160.34,-0.74,0.74,2.735,4.2,0.637,0.656,2.447,2.452
2300.0,,,14856385.742,-0.74,0.74,2.736,4.199,0.634,0.654,2.436,2.444
2400.0,,,15542872.787,-0.74,0.74,2.736,4.199,0.63,0.65,2.423,2.43
2500.0,,,16150551.269,-0.74,0.74,2.736,4.199,0.628,0.648,2.412,2.421
2600.0,,,17028284.022,-0.74,0.74,2.736,4.2,0.624,0.644,2.4,2.407
2700.0,,,17635167.032,-0.74,0.74,2.736,4.2,0.622,0.643,2.393,2.403
2800.0,,,18241553.704,-0.74,0.74,2.736,4.199,0.62,0.641,2.385,2.394
2900.0,,,19270843.705,-0.74,0.74,2.737,4.199,0.617,0.637,2.373,2.38
3000.0,,,19876656.14,-0.74,0.74,2.737,4.2,0.615,0.636,2.366,2.377
3100.0,,,20481908.533,-0.74,0.74,2.737,4.199,0.612,0.633,2.355,2.367
3200.0,,,21257162.932,-0.74,0.74,2.737,4.199,0.609,0.629,2.344,2.353
3300.0,,,21861994.965,-0.74,0.74,2.737,4.199,0.607,0.628,2.336,2.348
3500.0,,,23229176.146,-0.74,0.74,2.737,4.199,0.602,0.622,2.319,2.329
3600.0,,,23832449.37,-0.74,0.74,2.737,4.2,0.6,0.622,2.312,2.325
3700.0,,,24435392.084,-0.74,0.74,2.737,4.199,0.595,0.62,2.294,2.317
3800.0,,,25486475.021,-0.74,0.74,2.737,4.199,0.595,0.615,2.293,2.302
3900.0,,,26088740.384,-0.74,0.74,2.737,4.199,0.594,0.615,2.287,2.301
4000.0,,,26691358.907,-0.74,0.74,2.737,4.199,0.591,0.613,2.277,2.292
4100.0,,,27449444.507,-0.74,0.74,2.738,4.199,0.587,0.609,2.264,2.278
4200.0,,,28071342.391,-0.74,0.74,2.738,4.199,0.586,0.608,2.259,2.274
4300.0,,,28672345.007,-0.74,0.74,2.738,4.2,0.584,0.607,2.25,2.268
4400.0,,,29273317.998,-0.74,0.74,2.738,4.199,0.582,0.605,2.242,2.261
4500.0,,,29961053.524,-0.74,0.74,2.738,4.199,0.578,0.601,2.23,2.247
4600.0,,,30561063.053,-0.74,0.74,2.739,4.199,0.562,0.585,2.169,2.192
4800.0,,,31947954.26,-0.74,0.74,2.74,4.187,0.562,0.586,2.169,2.185
5000.0,,,34037983.408,-0.74,0.74,2.74,4.2,0.561,0.578,2.164,2.162
