Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,7011.772,-0.74,0.74,2.699,4.2,0.712,0.728,2.723,2.72
100.0,,,624996.672,-0.74,0.74,2.719,4.199,0.703,0.72,2.689,2.689
200.0,,,1241954.227,-0.74,0.74,2.719,4.2,0.699,0.716,2.672,2.673
300.0,,,1992241.353,-0.74,0.74,2.72,4.199,0.697,0.713,2.666,2.663
400.0,,,2607892.264,-0.74,0.74,2.72,4.199,0.693,0.71,2.65,2.651
500.0,,,3223016.089,-0.74,0.74,2.72,4.199,0.69,0.707,2.639,2.64
600.0,,,3837613.977,-0.74,0.74,2.721,4.199,0.687,0.704,2.63,2.631
700.0,,,4497461.925,-0.74,0.74,2.736,4.199,0.687,0.704,2.628,2.63
800.0,,,5111490.835,-0.74,0.74,2.735,4.199,0.684,0.702,2.617,2.621
900.0,,,5725103.471,-0.74,0.74,2.735,4.199,0.682,0.7,2.609,2.613
1000.0,,,6338291.932,-0.74,0.74,2.735,4.199,0.679,0.697,2.6,2.605
1100.0,,,6951077.749,-0.74,0.74,2.735,4.199,0.677,0.695,2.593,2.597
1200.0,,,7563444.583,-0.74,0.74,2.735,4.199,0.675,0.694,2.585,2.59
1300.0,,,8175427.019,-0.74,0.74,2.735,4.199,0.673,0.692,2.578,2.583
1400.0,,,8787042.454,-0.74,0.74,2.735,4.199,0.671,0.69,2.57,2.576
1600.0,,,10092447.378,-0.74,0.74,2.736,4.199,0.667,0.686,2.557,2.562
1800.0,,,11578549.164,-0.74,0.74,2.736,4.199,0.663,0.682,2.54,2.547
1900.0,,,12250321.732,-0.74,0.74,2.736,4.199,0.661,0.68,2.533,2.537
2000.0,,,12941469.833,-0.74,0.74,2.736,4.199,0.658,0.677,2.524,2.529
2100.0,,,13550455.44,-0.74,0.74,2.736,4.199,0.656,0.676,2.515,2.523
2200.0,,,14248221.177,-0.74,0.74,2.736,4.199,0.654,0.673,2.508,2.514
2300.0,,,14856480.637,-0.74,0.74,2.736,4.199,0.652,0.672,2.499,2.508
2400.0,,,15542948.078,-0.74,0.74,2.736,4.199,0.649,0.669,2.492,2.498
2500.0,,,16150471.485,-0.74,0.74,2.737,4.2,0.647,0.668,2.483,2.492
2600.0,,,17028364.542,-0.74,0.74,2.737,4.199,0.645,0.665,2.474,2.481
2700.0,,,17635087.467,-0.74,0.74,2.737,4.2,0.642,0.663,2.466,2.476
2800.0,,,18241485.664,-0.74,0.74,2.737,4.199,0.64,0.661,2.458,2.468
2900.0,,,19270930.354,-0.74,0.74,2.737,4.199,0.638,0.658,2.449,2.458
3000.0,,,19876505.389,-0.74,0.74,2.737,4.2,0.636,0.657,2.442,2.453
3100.0,,,20481790.705,-0.74,0.74,2.737,4.2,0.634,0.655,2.434,2.445
3200.0,,,21257254.566,-0.74,0.74,2.738,4.199,0.631,0.652,2.425,2.434
3300.0,,,21861766.359,-0.74,0.74,2.737,4.2,0.629,0.651,2.418,2.43
3500.0,,,23229287.061,-0.74,0.74,2.737,4.199,0.626,0.647,2.408,2.416
3600.0,,,23832344.522,-0.74,0.74,2.737,4.199,0.625,0.646,2.401,2.412
3700.0,,,24435503.188,-0.74,0.74,2.738,4.199,0.62,0.645,2.383,2.406
3800.0,,,25486590.374,-0.74,0.74,2.737,4.198,0.62,0.642,2.383,2.395
3900.0,,,26089093.699,-0.74,0.74,2.737,4.199,0.619,0.641,2.381,2.393
4000.0,,,26691395.583,-0.74,0.74,2.738,4.2,0.617,0.64,2.374,2.387
4100.0,,,27449574.323,-0.74,0.74,2.738,4.199,0.615,0.637,2.366,2.377
4200.0,,,28071483.217,-0.74,0.74,2.738,4.199,0.614,0.636,2.36,2.372
4300.0,,,28672897.524,-0.74,0.74,2.739,4.199,0.611,0.634,2.352,2.366
4400.0,,,29274062.408,-0.74,0.74,2.739,4.199,0.61,0.633,2.345,2.36
