Cycle_Index,Start_Time,End_Time,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,,,6997.881,-0.74,0.74,2.7,4.199,0.71,0.727,2.715,2.718
100.0,,,624677.884,-0.74,0.74,2.719,4.199,0.701,0.72,2.682,2.69
300.0,,,1992360.795,-0.74,0.74,2.72,4.2,0.695,0.713,2.658,2.665
400.0,,,2607721.959,-0.74,0.74,2.72,4.199,0.691,0.709,2.642,2.65
500.0,,,3222558.883,-0.74,0.74,2.72,4.199,0.687,0.707,2.63,2.639
600.0,,,3836864.22,-0.74,0.74,2.72,4.2,0.685,0.704,2.62,2.629
700.0,,,4497532.605,-0.74,0.74,2.736,4.199,0.685,0.702,2.62,2.623
800.0,,,5110885.888,-0.74,0.74,2.736,4.199,0.681,0.699,2.608,2.613
900.0,,,5723777.424,-0.74,0.74,2.736,4.199,0.679,0.697,2.6,2.604
1000.0,,,6336241.138,-0.74,0.74,2.735,4.199,0.677,0.695,2.592,2.596
1100.0,,,6948294.398,-0.74,0.74,2.736,4.199,0.675,0.693,2.584,2.589
1200.0,,,7559956.241,-0.74,0.74,2.736,4.2,0.673,0.691,2.576,2.581
1300.0,,,8171206.88,-0.74,0.74,2.736,4.199,0.671,0.689,2.568,2.574
1400.0,,,8782076.125,-0.74,0.74,2.736,4.199,0.669,0.687,2.561,2.567
1600.0,,,10092498.058,-0.74,0.74,2.736,4.199,0.665,0.683,2.548,2.553
1800.0,,,11578602.488,-0.74,0.74,2.736,4.199,0.661,0.68,2.532,2.539
1900.0,,,12250375.483,-0.74,0.74,2.736,4.199,0.658,0.677,2.524,2.529
2000.0,,,12941524.465,-0.74,0.74,2.736,4.2,0.656,0.675,2.515,2.521
2100.0,,,13550104.497,-0.74,0.74,2.736,4.199,0.653,0.673,2.506,2.515
2200.0,,,14248275.778,-0.74,0.74,2.736,4.199,0.651,0.671,2.499,2.505
2300.0,,,14856113.006,-0.74,0.74,2.736,4.199,0.649,0.669,2.49,2.499
2400.0,,,15542998.404,-0.74,0.74,2.736,4.199,0.646,0.666,2.479,2.487
2500.0,,,16150073.362,-0.74,0.74,2.737,4.199,0.643,0.664,2.469,2.48
2600.0,,,17028405.322,-0.74,0.74,2.737,4.199,0.64,0.66,2.458,2.466
2700.0,,,17634659.437,-0.74,0.74,2.737,4.199,0.638,0.659,2.449,2.46
2800.0,,,18241040.192,-0.74,0.74,2.737,4.2,0.635,0.656,2.439,2.45
2900.0,,,19270956.822,-0.74,0.74,2.737,4.199,0.632,0.652,2.427,2.436
3000.0,,,19876045.404,-0.74,0.74,2.737,4.199,0.63,0.651,2.419,2.431
3100.0,,,20481317.394,-0.74,0.74,2.737,4.199,0.627,0.649,2.409,2.422
3200.0,,,21257273.164,-0.74,0.74,2.737,4.2,0.624,0.645,2.399,2.41
3300.0,,,21861297.245,-0.74,0.74,2.738,4.199,0.622,0.644,2.391,2.405
3500.0,,,23229300.958,-0.74,0.74,2.737,4.199,0.618,0.639,2.377,2.387
3600.0,,,23831892.474,-0.74,0.74,2.738,4.199,0.616,0.638,2.369,2.383
3700.0,,,24435037.693,-0.74,0.74,2.737,4.199,0.611,0.636,2.349,2.374
3800.0,,,25486587.659,-0.74,0.74,2.738,4.2,0.61,0.632,2.349,2.359
3900.0,,,26088589.41,-0.74,0.74,2.738,4.199,0.609,0.631,2.342,2.356
4000.0,,,26690867.641,-0.74,0.74,2.738,4.199,0.606,0.629,2.332,2.348
4100.0,,,27449557.832,-0.74,0.74,2.738,4.2,0.603,0.625,2.322,2.335
4200.0,,,28071464.402,-0.74,0.74,2.738,4.199,0.601,0.624,2.315,2.33
4300.0,,,28672338.847,-0.74,0.74,2.739,4.199,0.599,0.622,2.305,2.323
4400.0,,,29273505.851,-0.74,0.74,2.739,4.199,0.596,0.62,2.296,2.314
4500.0,,,29961170.882,-0.74,0.74,2.739,4.199,0.593,0.617,2.286,2.302
4600.0,,,30561197.543,-0.74,0.74,2.739,4.199,0.592,0.616,2.279,2.298
4800.0,,,31947725.794,-0.74,0.74,2.739,4.199,0.587,0.612,2.262,2.284
5000.0,,,34038207.145,-0.74,0.74,2.74,4.199,0.582,0.607,2.245,2.265
5100.0,,,34634395.405,-0.74,0.74,2.74,4.199,0.58,0.606,2.235,2.258
5200.0,,,35679091.032,-0.74,0.74,2.741,4.199,0.577,0.602,2.225,2.245
5300.0,,,36274486.576,-0.74,0.74,2.74,4.199,0.576,0.602,2.22,2.243
5400.0,,,36869608.739,-0.74,0.74,2.741,4.2,0.574,0.6,2.212,2.236
5500.0,,,37950330.991,-0.74,0.74,2.741,4.2,0.57,0.596,2.201,2.224
5600.0,,,38544824.475,-0.74,0.74,2.741,4.199,0.57,0.596,2.197,2.221
5700.0,,,39139014.189,-0.74,0.74,2.741,4.199,0.567,0.594,2.189,2.214
5800.0,,,39747552.06,-0.74,0.74,2.741,4.2,0.565,0.592,2.182,2.206
5900.0,,,40341179.348,-0.74,0.74,2.742,4.2,0.563,0.59,2.173,2.199
6000.0,,,40934518.125,-0.74,0.74,2.742,4.199,0.561,0.588,2.165,2.192
6100.0,,,41631763.759,-0.74,0.74,2.742,4.199,0.557,0.585,2.153,2.181
6200.0,,,42224555.828,-0.74,0.74,2.742,4.2,0.557,0.585,2.151,2.178
6300.0,,,42816991.151,-0.74,0.74,2.742,4.199,0.555,0.583,2.143,2.172
6400.0,,,43608079.7,-0.74,0.74,2.742,4.199,0.551,0.58,2.13,2.161
6500.0,,,44200040.605,-0.74,0.74,2.743,4.198,0.551,0.58,2.128,2.159
6600.0,,,44791622.952,-0.74,0.74,2.742,4.199,0.55,0.578,2.124,2.154
6700.0,,,46286910.882,-0.74,0.74,2.743,4.199,0.55,0.578,2.127,2.154
6800.0,,,46878021.338,-0.74,0.74,2.743,4.199,0.55,0.577,2.122,2.151
6900.0,,,47468797.567,-0.74,0.74,2.743,4.199,0.548,0.576,2.116,2.146
7000.0,,,48465550.603,-0.74,0.74,2.744,4.2,0.544,0.573,2.103,2.136
7100.0,,,49060707.276,-0.74,0.74,2.743,4.199,0.544,0.574,2.1,2.137
7200.0,,,49650774.072,-0.74,0.74,2.744,4.199,0.542,0.571,2.094,2.126
